Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
529041.8961431,-750000.125,90825.8671875,-750000.125,-234464.796875,91185.6484375,91284.171875,-750000.125,-750000.125,-0.351806640625,0.9326171875,-0.083740234375,0.4882812201976776,2.441406011581421,0.2136230319738388,73.33333587646484,833032.0,1.0
529041.8961873,-750000.125,90721.9765625,-750000.125,-234120.046875,91092.5703125,91190.1171875,-750000.125,-750000.125,-0.351806640625,0.9326171875,-0.082275390625,0.4577636420726776,2.471923589706421,0.1220703050494194,73.33333587646484,833033.0,1.0
529041.8981003,-750000.125,90794.84375,-750000.125,-234355.015625,91159.265625,91258.2421875,-750000.125,-750000.125,-0.351318359375,0.932373046875,-0.083984375,0.5798339247703552,2.502441167831421,0.0,73.33333587646484,833034.0,1.0
529041.9008117,-750000.125,91002.8046875,-750000.125,-234855.78125,91353.640625,91454.2265625,-750000.125,-750000.125,-0.350341796875,0.93017578125,-0.085205078125,0.6103515028953552,2.471923589706421,-0.1220703050494194,73.33333587646484,833035.0,1.0
529041.9030383,-750000.125,91110.3671875,-750000.125,-234938.578125,91458.3359375,91558.5625,-750000.125,-750000.125,-0.3515625,0.931640625,-0.08349609375,0.7934569716453552,2.532958745956421,-0.2441406100988388,73.33333587646484,833036.0,1.0
529041.9121172,-750000.125,91013.0859375,-750000.125,-234497.796875,91372.953125,91471.75,-750000.125,-750000.125,-0.351318359375,0.9306640625,-0.083984375,0.9155272841453552,2.563476324081421,-0.4577636420726776,73.33333587646484,833037.0,1.0
529041.9152418,-750000.125,90909.734375,-750000.125,-234152.5,91280.1484375,91378.2265625,-750000.125,-750000.125,-0.351318359375,0.931396484375,-0.082275390625,1.0375975370407104,2.532958745956421,-0.4882812201976776,73.33333587646484,833038.0,1.0
529041.9152917,-750000.125,90984.125,-750000.125,-234387.828125,91348.0078125,91447.15625,-750000.125,-750000.125,-0.352294921875,0.92919921875,-0.081298828125,1.0375975370407104,2.532958745956421,-0.4882812201976776,73.33333587646484,833039.0,1.0
529041.916833,-750000.125,91192.171875,-750000.125,-234887.4375,91542.2890625,91642.515625,-750000.125,-750000.125,-0.353271484375,0.928466796875,-0.08251953125,1.0375975370407104,2.624511480331421,-0.5493163466453552,73.33333587646484,833040.0,1.0
529041.925682,-750000.125,91298.65625,-750000.125,-234969.78125,91645.9140625,91746.046875,-750000.125,-750000.125,-0.353271484375,0.92919921875,-0.083984375,1.0986326932907104,2.807616949081421,-0.7324218153953552,73.33333587646484,833041.0,1.0
529041.9282564,-750000.125,91202.3671875,-750000.125,-234529.0,91561.5078125,91660.3046875,-750000.125,-750000.125,-0.35595703125,0.9296875,-0.08447265625,1.0070799589157104,2.655029058456421,-0.6103515028953552,73.33333587646484,833042.0,1.0
529041.9322465,-750000.125,91099.0078125,-750000.125,-234183.0,91468.796875,91567.234375,-750000.125,-750000.125,-0.35693359375,0.930908203125,-0.082275390625,0.9765624403953552,2.685546636581421,-0.5493163466453552,73.33333587646484,833043.0,1.0
529041.9411186,-750000.125,91169.7265625,-750000.125,-234414.5625,91533.4375,91632.59375,-750000.125,-750000.125,-0.356201171875,0.931396484375,-0.086669921875,1.0375975370407104,2.532958745956421,-0.3356933295726776,73.33333587646484,833044.0,1.0
529041.9411833,-750000.125,91378.3203125,-750000.125,-234915.5,91727.8046875,91828.5703125,-750000.125,-750000.125,-0.357177734375,0.931640625,-0.0859375,0.9460448622703552,2.471923589706421,-0.2441406100988388,73.33333587646484,833045.0,1.0
529041.9434315,-750000.125,91486.3203125,-750000.125,-235000.4375,91833.484375,91933.984375,-750000.125,-750000.125,-0.35693359375,0.930908203125,-0.0849609375,0.8239745497703552,2.502441167831421,-0.0915527269244194,73.33333587646484,833046.0,1.0
529041.951838,-750000.125,91388.421875,-750000.125,-234559.578125,91747.75,91846.6328125,-750000.125,-750000.125,-0.35595703125,0.9326171875,-0.086669921875,0.6408690810203552,2.441406011581421,0.1525878757238388,73.33333587646484,833047.0,1.0
529041.9552604,-750000.125,91284.53125,-750000.125,-234213.5625,91654.140625,91752.484375,-750000.125,-750000.125,-0.35498046875,0.933837890625,-0.0849609375,0.4882812201976776,2.288818120956421,0.1831054538488388,73.33333587646484,833048.0,1.0
529041.9553124,-750000.125,91358.0234375,-750000.125,-234449.15625,91721.375,91820.8828125,-750000.125,-750000.125,-0.354736328125,0.9365234375,-0.0869140625,0.3967284858226776,2.410888433456421,0.2746581733226776,73.33333587646484,833049.0,1.0
